iter	RMSE
262	0.3628670631
263	0.3628058805
264	0.3627408826
265	0.3626759977
266	0.3626113581
267	0.3625469243
268	0.3624667626
269	0.3624028431
270	0.3623394522
271	0.3622763005
272	0.3619090226
273	0.3618459988
274	0.3617120192
275	0.3608944661
276	0.3608351406
277	0.3607766896
278	0.3607021215
279	0.3606401707
280	0.3605782448
281	0.3605119216
282	0.3600016374
283	0.3599399844
284	0.3592429419
285	0.3591783764
286	0.3588072177
287	0.3584557865
288	0.3583945792
289	0.3583337143
290	0.3582731239
291	0.3576430136
292	0.3575825448
293	0.3574715737
294	0.3574114
295	0.3570214215
296	0.3569614536
297	0.3564478801
298	0.3563882228
299	0.3563288111
300	0.3562697275
301	0.3557062092
302	0.3556472625
303	0.3549976937
304	0.3549390968
305	0.3548809121
306	0.3548227754
307	0.3545513448
308	0.3544933511
309	0.3544357094
310	0.3543784755
311	0.3543214908
312	0.3542646106
313	0.3542079634
314	0.3534635565
315	0.3534067086
316	0.3530903257
317	0.3530338027
318	0.3529775841
319	0.3529218093
320	0.3528662057
321	0.3518719891
322	0.3518163865
323	0.3517608522
324	0.3517055782
325	0.351650456
326	0.3515343866
327	0.3514795584
328	0.3514250705
329	0.3513412075
330	0.3512870057
331	0.350852925
332	0.3503425817
333	0.3502881505
334	0.3502275983
335	0.3501736055
336	0.350119954
337	0.3500665431
338	0.3500135066
339	0.3496426873
340	0.3495895433
341	0.3495365039
342	0.3494835258
343	0.34943081
344	0.3493782879
345	0.3493260207
346	0.3489995292
347	0.3489476824
348	0.3488956975
349	0.3488221454
350	0.3487703013
351	0.3483667868
352	0.3483149173
353	0.3480031726
354	0.3479514598
355	0.3479001595
356	0.3477809973
357	0.3477298486
358	0.3476790967
359	0.347218085
360	0.3471671914
361	0.3471166736
362	0.347066098
363	0.3470156934
364	0.3469655112
365	0.3465543081
366	0.3458177307
367	0.3457676621
368	0.3456951089
369	0.3454185204
370	0.3453684809
371	0.3453187586
372	0.3452693417
373	0.3452201908
374	0.345170923
375	0.3451218016
376	0.3450729818
377	0.3450157083
378	0.3449672204
379	0.3449187804
380	0.3448734642
381	0.3448254038
382	0.3446105155
383	0.3445624376
384	0.3443266985
385	0.3442786439
386	0.3442309896
387	0.3441833429
388	0.3435967256
389	0.3430837321
390	0.3430359447
391	0.342988537
392	0.3429412243
393	0.3427164969
394	0.3426693562
395	0.3426225895
396	0.3425757437
397	0.3425292553
398	0.3424827357
399	0.3424364601
400	0.3423717019
401	0.3423252743
402	0.3422792594
403	0.3417424802
404	0.3416411525
405	0.3415980572
406	0.3415520149
407	0.341506161
408	0.3414604929
409	0.3409775483
410	0.3409317958
411	0.3408862733
412	0.3408408435
413	0.340795508
414	0.3407502438
415	0.3407052393
416	0.3403152751
417	0.3398730284
418	0.3393293685
419	0.3392841987
420	0.3389723417
421	0.3389273429
422	0.3388650385
423	0.3388234081
424	0.3385908601
425	0.3385462025
426	0.338500944
427	0.3384564711
428	0.3384120824
429	0.3383678258
430	0.3383237925
431	0.3379203581
432	0.3378765082
433	0.3378326329
434	0.3377888921
435	0.3377453843
436	0.3377018497
437	0.337635142
438	0.3375919342
439	0.3372855977
440	0.3372395197
441	0.3371648893
442	0.3371215613
443	0.3370783221
444	0.3367575015
445	0.3367178787
446	0.336678446
447	0.3366355379
448	0.3365928998
449	0.3365501097
450	0.3365074938
451	0.3364650828
452	0.3364228803
453	0.3363807563
454	0.336338544
455	0.3357948964
456	0.3357267263
457	0.3356439034
458	0.3356016715
459	0.3355595465
460	0.3355175304
461	0.3354756227
462	0.3354338255
463	0.3353921162
464	0.3350269609
465	0.3349852486
466	0.334943745
467	0.3344755173
468	0.3344341978
469	0.3343928569
470	0.3343515938
471	0.3337083723
472	0.3336671294
473	0.3336258638
474	0.3335849338
475	0.3335439222
476	0.3335029965
477	0.3334621835
478	0.333398927
479	0.3333582603
480	0.3333142038
481	0.3327807933
482	0.3327401999
483	0.3325748074
484	0.3325343847
485	0.332493951
486	0.3324536124
487	0.332413361
488	0.3323732723
489	0.3323331892
490	0.3322931449
491	0.3320904147
492	0.332050491
493	0.3318778315
494	0.3318203928
495	0.3317808016
496	0.3317063234
497	0.3316665509
498	0.3316202914
499	0.3313027197
500	0.3309967001
501	0.3309569447
502	0.3309135496
503	0.3308739699
504	0.3308345107
505	0.330795124
506	0.3304266261
507	0.3299421177
508	0.3299025279
509	0.3298632723
510	0.3298241409
511	0.3297851512
512	0.3297462362
513	0.3296932223
514	0.3296544524
515	0.3296156614
516	0.3295769703
517	0.3295383559
518	0.3294998801
519	0.329461433
520	0.3294231196
521	0.3293849843
522	0.3290809829
523	0.3290428493
524	0.3290047911
525	0.3289669069
526	0.3289289998
527	0.3286110294
528	0.3285731004
529	0.328535257
530	0.3284975735
531	0.3284598614
532	0.3284223371
533	0.3281220102
534	0.3280844115
535	0.3280469872
536	0.3279934844
537	0.3279560529
538	0.3279188376
539	0.3278815456
540	0.3273619812
541	0.3273247646
542	0.327287633
543	0.3272505697
544	0.3270300563
545	0.3269931833
546	0.3269561338
547	0.3269191683
548	0.3268823225
549	0.3265144995
550	0.3264776725
551	0.3264409397
552	0.3264043105
553	0.3263677467
554	0.3263052709
555	0.326268742
556	0.326207925
557	0.326022276
558	0.3259857598
559	0.3259494016
560	0.3259131438
561	0.3254276911
562	0.3251465881
563	0.3251101758
564	0.3250739126
565	0.3247570038
566	0.3247208159
567	0.3246846438
568	0.3246487019
569	0.3246127344
570	0.3245769504
571	0.3245412064
572	0.3245054438
573	0.3241503656
574	0.3241145127
575	0.3240788326
576	0.3240433643
577	0.3240078051
578	0.3239723055
579	0.3235958969
580	0.3235604362
581	0.323525042
582	0.3234744693
583	0.323278947
584	0.3232435512
585	0.3232084028
586	0.3231731623
587	0.3231379909
588	0.3231057278
589	0.3227082103
590	0.3222654734
591	0.3222307429
592	0.322195714
593	0.3216153968
594	0.3215801866
595	0.3215451673
596	0.3215102456
597	0.3214754042
598	0.3214406566
599	0.3214059717
600	0.3211515152
601	0.3211167868
602	0.3209174591
603	0.3206494036
604	0.3206146904
605	0.320580065
606	0.3205457254
607	0.3205112243
608	0.3204767954
609	0.3203667941
610	0.3203323326
611	0.3200801164
612	0.3200457483
613	0.3200115715
614	0.319977292
615	0.3197607193
616	0.3197264182
617	0.3196922395
618	0.3196583091
619	0.3192007052
620	0.3191666392
621	0.3191326554
622	0.3187009644
623	0.3186670823
624	0.3186333606
625	0.3185995515
626	0.3185658647
627	0.3183090288
628	0.3182753203
629	0.3182417063
630	0.3181939372
631	0.3181605475
632	0.3181272223
633	0.3180940439
634	0.3180609299
635	0.3178220503
636	0.3177732207
637	0.3176406236
638	0.3176073544
639	0.3173964723
640	0.3173634077
641	0.317330288
642	0.3172853649
643	0.3172522899
644	0.3172192579
645	0.3169062102
646	0.3168733306
647	0.3168404336
648	0.3168078248
649	0.3166153143
650	0.3163225428
651	0.3162900214
652	0.3162573496
653	0.3162247348
654	0.3161921605
655	0.3161596131
656	0.3161270996
657	0.3160946486
658	0.3160623708
659	0.3160302114
660	0.3159979187
661	0.3159656939
662	0.3159335549
663	0.3158769356
664	0.3156183832
665	0.3155863205
666	0.3152709799
667	0.3152389235
668	0.3152068414
669	0.3150516019
670	0.3150197913
671	0.3148122006
672	0.3147662922
673	0.31473431
674	0.3146991771
675	0.3146672815
676	0.3146356032
677	0.3145929015
678	0.3145612978
679	0.314529534
680	0.3144979084
681	0.3144662334
682	0.3141658108
683	0.3141342637
684	0.3141026064
685	0.3140711441
686	0.3140395545
687	0.3140080309
688	0.3139765713
689	0.313945308
690	0.3139139486
691	0.3138826698
692	0.3138182766
693	0.3136219719
694	0.313590696
695	0.3135595888
696	0.3135056688
697	0.3134744813
698	0.3134433237
699	0.3134121996
700	0.3133811202
701	0.3133501112
702	0.313319229
703	0.3132883768
704	0.313134624
705	0.3129741696
706	0.3127647932
707	0.312733694
708	0.312476009
709	0.3124449961
710	0.3124142572
711	0.3123834037
712	0.3123527651
713	0.3123220153
714	0.3120469653
715	0.3120163293
716	0.3115751701
717	0.3115444308
718	0.3114307647
719	0.3112522211
720	0.3112214427
721	0.3111907704
722	0.3111602399
723	0.311129659
724	0.3108523013
725	0.3108217499
726	0.310791491
727	0.3107612194
728	0.3107307806
729	0.3107003715
730	0.3106700268
731	0.3106397326
732	0.3106095055
733	0.3105794598
734	0.3105492854
735	0.3105191661
736	0.310489127
737	0.3104175256
738	0.3103875477
739	0.3103577932
740	0.3103278898
741	0.3101020657
742	0.3100720441
743	0.3100422784
744	0.3100125796
745	0.3099830108
746	0.3099532678
747	0.3099106257
748	0.3098809034
749	0.3095618567
750	0.3095320362
751	0.3095023602
752	0.3094727141
753	0.3094432441
754	0.3091272175
755	0.3090976429
756	0.3090682248
757	0.3090389102
758	0.3088195758
759	0.3086279973
760	0.3085984212
761	0.3085690349
762	0.3083679198
763	0.3083396945
764	0.3083102518
765	0.3082808868
766	0.308251684
767	0.3082223831
768	0.3081931232
769	0.3081639458
770	0.3080199609
771	0.3079908184
772	0.3079617228
773	0.3079327293
774	0.3079036916
775	0.3078746907
776	0.3075439462
777	0.307514921
778	0.3072445225
779	0.307215487
780	0.3071865636
781	0.3071576125
782	0.3071286952
783	0.3068412122
784	0.3068121449
785	0.3067833639
786	0.3067444298
787	0.3067156578
788	0.3066870731
789	0.3066583466
790	0.3066297498
791	0.3065023468
792	0.3064737264
793	0.3064450294
794	0.3062598128
795	0.3062311479
796	0.3061362188
797	0.3061075968
798	0.3060674779
799	0.306038919
800	0.3060104176
801	0.305982059
802	0.3059444237
803	0.3059159829
804	0.3058875716
805	0.3058592076
806	0.3056661324
807	0.3056377823
808	0.3056095934
809	0.3055813811
810	0.3055532096
811	0.3055249931
812	0.305496986
813	0.3052952735
814	0.3052669573
815	0.3052389993
816	0.3052016569
817	0.3050398793
818	0.3050118615
819	0.3049837522
820	0.304955683
821	0.304927658
822	0.3048996795
823	0.3045894959
824	0.3045466069
825	0.3045187196
826	0.304490747
827	0.3043059257
828	0.3042747297
829	0.3042467889
830	0.3042180362
831	0.304190243
832	0.3041561095
833	0.3041281688
834	0.3041004479
835	0.3039089788
836	0.3038812672
837	0.3038535775
838	0.3038259175
839	0.3037982771
840	0.3037706703
841	0.3037431889
842	0.3037156769
843	0.3036882151
844	0.30366078
845	0.3036333722
846	0.3035855012
847	0.3035582062
848	0.3034316459
849	0.3034043605
850	0.3033769991
851	0.303349719
852	0.3031629346
853	0.3031355738
854	0.303108324
855	0.3030810785
856	0.3030538346
857	0.3030266794
858	0.3029995809
859	0.3029724747
860	0.3028355339
861	0.3025035287
862	0.3024763725
863	0.3024492197
864	0.3024221503
865	0.3023951235
866	0.3023681201
867	0.302341136
868	0.3023141902
869	0.3022784885
870	0.3022515844
871	0.3020921777
872	0.3020652382
873	0.3018065591
874	0.3015882134
875	0.3015613164
876	0.3014310223
877	0.3014045783
878	0.3012134243
879	0.301186438
880	0.3011594886
881	0.3011327314
882	0.301105875
883	0.3010791235
884	0.3010523627
885	0.3010068539
886	0.3009801344
887	0.3009535716
888	0.3009270995
889	0.3009005598
890	0.3008739874
891	0.3005476339
892	0.3005209838
893	0.3004944919
894	0.3004681126
895	0.3004416235
896	0.300415163
897	0.3003887327
898	0.3003623403
899	0.3001208236
900	0.2999337231
901	0.2999072718
902	0.2998810438
903	0.2998548737
904	0.2998285097
905	0.2996014013
906	0.2995750587
907	0.2995489279
908	0.2995227637
909	0.2994965556
910	0.2994704083
911	0.29944432
912	0.2994184308
913	0.2993925587
914	0.2993666614
915	0.2993347135
916	0.2993087538
917	0.2992829103
918	0.2992570158
919	0.2992312584
920	0.2992054662
921	0.2991796123
922	0.2991537845
923	0.2991282217
924	0.2988460608
925	0.2988201811
926	0.2987946422
927	0.2987688594
928	0.2987431039
929	0.298582472
930	0.2985567966
931	0.2983726739
932	0.298346911
933	0.2983211701
934	0.2982954495
935	0.2982698453
936	0.2982441659
937	0.2982185598
938	0.2981930697
939	0.2981675243
940	0.2980604294
941	0.2980351011
942	0.2979967765
943	0.2978678055
944	0.2978422456
945	0.2978168401
946	0.2977913825
947	0.2977659566
948	0.297740555
949	0.2977151678
950	0.297689874
951	0.2976645334
952	0.2976392265
953	0.2974505092
954	0.2974251193
955	0.2973998434
956	0.2973745901
957	0.2973494128
958	0.2973242654
959	0.2972991514
960	0.2972740146
961	0.2972489077
962	0.2972238186
963	0.2971987546
964	0.2971737281
965	0.2969019979
966	0.2968769792
967	0.2968519972
968	0.296826993
969	0.296802059
970	0.2966104752
971	0.2965855649
972	0.2965606841
973	0.2965358203
974	0.296510943
975	0.2964861457
976	0.2964614251
977	0.2964365939
978	0.2962954896
979	0.2960898174
980	0.2960649899
981	0.2960403089
982	0.2960155382
983	0.2959907841
984	0.29596611
985	0.2959415296
986	0.2959169141
987	0.2958922324
988	0.2957285159
989	0.2957038551
990	0.2956793678
991	0.2956547585
992	0.2956301931
993	0.2956057468
994	0.2955812418
995	0.2955569079
996	0.2955325834
997	0.2955081307
998	0.2954836922
999	0.2954592755
